year,kind,subject,url,local
2021,2ji_mondai,B,https://www.jf-cmca.jp/attach/test/shikenmondai/2ji2021/b2ji2021.pdf,sources/2ji/2021/B.pdf
2021,2ji_mondai,C,https://www.jf-cmca.jp/attach/test/shikenmondai/2ji2021/c2ji2021.pdf,sources/2ji/2021/C.pdf
2021,2ji_mondai,D,https://www.jf-cmca.jp/attach/test/shikenmondai/2ji2021/d2ji2021.pdf,sources/2ji/2021/D.pdf
2020,2ji_mondai,A,https://www.jf-cmca.jp/attach/test/shikenmondai/2ji2020/a2ji2020.pdf,sources/2ji/2020/A.pdf
2020,2ji_mondai,B,https://www.jf-cmca.jp/attach/test/shikenmondai/2ji2020/b2ji2020.pdf,sources/2ji/2020/B.pdf
2020,2ji_mondai,C,https://www.jf-cmca.jp/attach/test/shikenmondai/2ji2020/c2ji2020.pdf,sources/2ji/2020/C.pdf
2020,2ji_mondai,D,https://www.jf-cmca.jp/attach/test/shikenmondai/2ji2020/d2ji2020.pdf,sources/2ji/2020/D.pdf
2019,2ji_mondai,A,https://www.jf-cmca.jp/attach/test/shikenmondai/2ji2019/a2ji2019.pdf,sources/2ji/2019/A.pdf
2019,2ji_mondai,B,https://www.jf-cmca.jp/attach/test/shikenmondai/2ji2019/b2ji2019.pdf,sources/2ji/2019/B.pdf
2019,2ji_mondai,C,https://www.jf-cmca.jp/attach/test/shikenmondai/2ji2019/c2ji2019.pdf,sources/2ji/2019/C.pdf
2019,2ji_mondai,D,https://www.jf-cmca.jp/attach/test/shikenmondai/2ji2019/d2ji2019.pdf,sources/2ji/2019/D.pdf
2018,2ji_mondai,A,https://www.jf-cmca.jp/attach/test/shikenmondai/2ji2018/a2ji2018.pdf,sources/2ji/2018/A.pdf
2018,2ji_mondai,B,https://www.jf-cmca.jp/attach/test/shikenmondai/2ji2018/b2ji2018.pdf,sources/2ji/2018/B.pdf
